Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4s2.4p4.(3P<2>).11s""","=""2[2]""","=""3/2""","=""""","=""93557.98""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).11s 4P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).8f""","=""2[4]*""","=""9/2""","=""""","=""93556.94""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).8f""","=""2[4]*""","=""7/2""","=""""","=""93557.34""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).8f""","=""2[3]*""","=""7/2""","=""""","=""93558.51""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).8f""","=""2[3]*""","=""5/2""","=""""","=""93558.51""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).8f""","=""2[2]*""","=""3/2""","=""""","=""93562.65""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).8f""","=""2[5]*""","=""11/2""","=""""","=""93563.77""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).8f""","=""2[5]*""","=""9/2""","=""""","=""93563.82""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(1D).4d""","=""2[1]""","=""1/2""","=""""","=""93650.35""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).4d  2P   ""","=""L351"""
"=""4s2.4p4.(1D<2>).4d""","=""2[3]""","=""5/2""","=""""","=""93671.92""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).4d  2F   ""","=""L351"""
"=""4s2.4p4.(1D<2>).4d""","=""2[3]""","=""7/2""","=""""","=""93682.82""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).4d  2F   ""","=""L351"""
"=""4s2.4p4.(1D).4d""","=""2[0]""","=""1/2""","=""""","=""93701.48""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).4d  2S   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10d""","=""2[3]""","=""7/2""","=""""","=""93798.76""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10d 4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10d""","=""2[3]""","=""5/2""","=""""","=""93815.57""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10d 4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10d""","=""2[4]""","=""9/2""","=""""","=""93818.96""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10d 4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10d""","=""2[4]""","=""7/2""","=""""","=""93859.09""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10d 4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10d""","=""2[1]""","=""3/2""","=""""","=""93821.47""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10d 4D   ""","=""L351"""
"=""4s2.4p4.(3P<1>).8s""","=""2[1]""","=""3/2""","=""""","=""93906.64""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8s  2P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).8s""","=""2[1]""","=""1/2""","=""""","=""93983.18""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).8s  4P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).9f""","=""2[4]*""","=""9/2""","=""""","=""93919.84""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).9f""","=""2[5]*""","=""11/2""","=""""","=""93925.35""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).9f""","=""2[5]*""","=""9/2""","=""""","=""93925.36""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<1>).5f""","=""2[2]*""","=""3/2""","=""""","=""93987.61""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<1>).5f""","=""2[2]*""","=""5/2""","=""""","=""93988.36""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<1>).5f""","=""2[4]*""","=""9/2""","=""""","=""93994.02""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<1>).5f""","=""2[4]*""","=""7/2""","=""""","=""93994.73""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<1>).5f""","=""2[3]*""","=""7/2""","=""""","=""94017.80""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<1>).5f""","=""2[3]*""","=""5/2""","=""""","=""94018.21""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<1>).5g""","=""2[5]""","=""9/2""","=""""","=""94022.27""","=""""","=""""","=""""","=""                                            ""","=""L821"""
"=""4s2.4p4.(3P<1>).5g""","=""2[5]""","=""11/2""","=""""","=""94022.27""","=""""","=""""","=""""","=""                                            ""","=""L821"""
"=""4s2.4p4.(3P<0>).6d""","=""2[2]""","=""3/2""","=""""","=""94082.60""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6d  2D   ""","=""L351"""
"=""4s2.4p4.(3P<0>).6d""","=""2[2]""","=""5/2""","=""""","=""94088.98""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6d  2D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).11d""","=""2[4]""","=""9/2""","=""""","=""94106.70""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).11d 4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).11d""","=""2[4]""","=""7/2""","=""""","=""94126.43""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).11d 4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10f""","=""2[4]*""","=""9/2""","=""""","=""94180.82""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<2>).12d""","=""2[4]""","=""9/2""","=""""","=""94317.40""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).12d 4F   ""","=""L351"""
"=""4s2.4p4.(1D<2>).6s""","=""2[2]""","=""5/2""","=""""","=""94460.97""","=""?""","=""""","=""""","=""         or  :        4s2.4p4.(1D).6s  2D   ""","=""L351"""
"=""4s2.4p4.(1D<2>).6s""","=""2[2]""","=""3/2""","=""""","=""94470.7""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).6s  2D   ""","=""L351"""
"=""4s2.4p4.(3P<0>).5f""","=""2[3]*""","=""7/2""","=""""","=""94700.23""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""4s2.4p4.(3P<0>).5f""","=""2[3]*""","=""5/2""","=""""","=""94700.41""","=""""","=""""","=""""","=""                                            ""","=""L351"""
"=""Br II (4p4 3P<2>)""","=""Limit""","=""---""","=""""","=""95284.8""","=""""","=""0.5""","=""""","=""                                            ""","=""L351,L67"""
