Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p5.(2P*<3/2>).11d,2[5/2]*,2,,173020.96,,0.10,L8826
2s2.2p5.(2P*<3/2>).11d,2[5/2]*,3,,173021.29,,0.09,L8826
2s2.2p5.(2P*<1/2>).9p,2[3/2],2,,173065.4,,0.2,L8826
2s2.2p5.(2P*<1/2>).9p,2[1/2],0,,173097.468,,0.014,L8826
2s2.2p5.(2P*<3/2>).13s,2[3/2]*,2,,173126.12,,0.09,L8826
2s2.2p5.(2P*<3/2>).13s,2[3/2]*,1,,173128.85,,0.12,L8826
2s2.2p5.(2P*<3/2>).12d,2[1/2]*,1,,173163.72,,0.17,L8826
2s2.2p5.(2P*<3/2>).12d,2[7/2]*,3,,173164.46,,0.11,L8826
2s2.2p5.(2P*<3/2>).12d,2[7/2]*,4,,173164.48,,0.11,L8826
2s2.2p5.(2P*<3/2>).12d,2[3/2]*,2,,173165.09,,0.12,L8826
2s2.2p5.(2P*<3/2>).12d,2[3/2]*,1,,173166.08,,0.18,L8826
2s2.2p5.(2P*<3/2>).12d,2[5/2]*,2,,173166.15,,0.11,L8826
2s2.2p5.(2P*<3/2>).12d,2[5/2]*,3,,173166.45,,0.11,L8826
2s2.2p5.(2P*<3/2>).14s,2[3/2]*,1,,173249.45,,0.18,L8826
2s2.2p5.(2P*<1/2>).10s,2[1/2]*,0,,173255.24,,0.06,L8826
2s2.2p5.(2P*<1/2>).10s,2[1/2]*,1,,173259.46,,0.06,L8826
2s2.2p5.(2P*<3/2>).13d,2[1/2]*,1,,173277.59,,0.14,L8826
2s2.2p5.(2P*<3/2>).13d,2[7/2]*,4,,173278.07,,0.11,L8826
2s2.2p5.(2P*<3/2>).13d,2[7/2]*,3,,173278.15,,0.11,L8826
2s2.2p5.(2P*<3/2>).13d,2[3/2]*,1,,173279.17,,0.18,L8826
2s2.2p5.(2P*<3/2>).13d,2[3/2]*,2,,173280.14,,0.13,L8826
2s2.2p5.(2P*<3/2>).15s,2[3/2]*,1,,173345.80,,0.18,L8826
2s2.2p5.(2P*<1/2>).9d,2[5/2]*,2,,173349.46,,0.08,L8826
2s2.2p5.(2P*<1/2>).9d,2[5/2]*,3,,173349.52,,0.06,L8826
2s2.2p5.(2P*<1/2>).9d,2[3/2]*,2,,173349.51,,0.08,L8826
2s2.2p5.(2P*<1/2>).9d,2[3/2]*,1,,173350.78,,0.09,L8826
2s2.2p5.(2P*<3/2>).14d,2[1/2]*,1,,173367.82,,0.18,L8826
2s2.2p5.(2P*<3/2>).14d,2[3/2]*,1,,173368.88,,0.18,L8826
2s2.2p5.(2P*<3/2>).16s,2[3/2]*,1,,173422.57,,0.18,L8826
2s2.2p5.(2P*<3/2>).15d,2[3/2]*,1,,173440.74,,0.18,L8826
2s2.2p5.(2P*<3/2>).15d,2[1/2]*,1,,173441.13,,0.18,L8826
2s2.2p5.(2P*<3/2>).17s,2[3/2]*,1,,173485.09,,0.18,L8826
2s2.2p5.(2P*<3/2>).16d,2[3/2]*,1,,173500.11,,0.18,L8826
2s2.2p5.(2P*<3/2>).18s,2[3/2]*,1,,173536.36,,0.18,L8826
2s2.2p5.(2P*<1/2>).11s,2[1/2]*,1,,173543.17,,0.18,L8826
2s2.2p5.(2P*<3/2>).17d,2[3/2]*,1,,173549.40,,0.18,L8826
2s2.2p5.(2P*<3/2>).19s,2[3/2]*,1,,173580.01,,0.18,L8826
2s2.2p5.(2P*<3/2>).18d,2[3/2]*,1,,173590.50,,0.18,L8826
2s2.2p5.(2P*<1/2>).10d,2[5/2]*,2,,173608.51,,0.05,L8826
2s2.2p5.(2P*<1/2>).10d,2[5/2]*,3,,173608.54,,0.07,L8826
2s2.2p5.(2P*<1/2>).10d,2[3/2]*,2,,173608.51,,0.08,L8826
2s2.2p5.(2P*<1/2>).10d,2[3/2]*,1,,173609.59,,0.11,L8826
2s2.2p5.(2P*<3/2>).20s,2[3/2]*,1,,173616.48,,0.18,L8826
2s2.2p5.(2P*<3/2>).19d,2[3/2]*,1,,173625.28,,0.18,L8826
2s2.2p5.(2P*<3/2>).20d,2[3/2]*,1,,173655.01,,0.18,L8826
2s2.2p5.(2P*<1/2>).12s,2[1/2]*,1,,173751.47,,0.18,L8826
2s2.2p5.(2P*<1/2>).11d,2[3/2]*,1,,173801.12,,0.18,L8826
2s2.2p5.(2P*<1/2>).13s,2[1/2]*,1,,173908.26,,0.18,L8826
Ne II (2p5 2P*<3/2>),Limit,---,,173929.75,,0.06,"L8826,L1407"
2s2.2p5.(2P*<1/2>).12d,2[3/2]*,1,,173945.96,,0.18,L8826
2s2.2p5.(2P*<1/2>).14s,2[1/2]*,1,,174029.75,,0.18,L8826
2s2.2p5.(2P*<1/2>).13d,2[3/2]*,1,,174059.19,,0.18,L8826
2s2.2p5.(2P*<1/2>).15s,2[1/2]*,1,,174125.57,,0.18,L8826
2s2.2p5.(2P*<1/2>).14d,2[3/2]*,1,,174149.04,,0.18,L8826
2s2.2p5.(2P*<1/2>).16s,2[1/2]*,1,,174202.46,,0.18,L8826
2s2.2p5.(2P*<1/2>).15d,2[3/2]*,1,,174221.46,,0.18,L8826
2s2.2p5.(2P*<1/2>).17s,2[1/2]*,1,,174265.12,,0.18,L8826
2s2.2p5.(2P*<1/2>).16d,2[3/2]*,1,,174280.61,,0.18,L8826
2s2.2p5.(2P*<1/2>).18s,2[1/2]*,1,,174316.88,,0.18,L8826
2s2.2p5.(2P*<1/2>).17d,2[3/2]*,1,,174329.86,,0.18,L8826
2s2.2p5.(2P*<1/2>).19s,2[1/2]*,1,,174360.10,,0.18,L8826
2s2.2p5.(2P*<1/2>).18d,2[3/2]*,1,,174371.29,,0.18,L8826
2s2.2p5.(2P*<1/2>).20s,2[1/2]*,1,,174396.62,,0.18,L8826
2s2.2p5.(2P*<1/2>).19d,2[3/2]*,1,,174405.81,,0.18,L8826
2s2.2p5.(2P*<1/2>).20d,2[3/2]*,1,,174435.59,,0.18,L8826
2s.2p6.3p,1P*,1,,367360,,70.,L8826
2s.2p6.4p,1P*,1,,380070,,40.,L8826
2s.2p6.5p,1P*,1,,384670,,40.,L8826
2s.2p6.6p,1P*,1,,386880,,40.,L8826
2s.2p6.7p,1P*,1,,388080,,50.,L8826
2s.2p6.8p,1P*,1,,388820,,50.,L8826
2s.2p6.9p,1P*,1,,389330,,50.,L8826
2s.2p6.10p,1P*,1,,389670,,50.,L8826
2s.2p6.11p,1P*,1,,389920,,50.,L8826
2s.2p6.12p,1P*,1,,390090,,50.,L8826
