obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
247.9408,0.0005,247.9405,40332.21,100,,,79006.853,119339.11,4s2.5p,2P*,1/2,4s2.8d,2D,3/2,2,4,,,L3335,
250.1290,0.0005,250.1297,39979.38,500,,,79366.494,119345.75,4s2.5p,2P*,3/2,4s2.8d,2D,5/2,4,6,,,L3335,
250.1709,0.0005,250.1713,39972.68,5,,,79366.494,119339.11,4s2.5p,2P*,3/2,4s2.8d,2D,3/2,4,4,,,L3335,
253.0598,0.0005,253.0596,39516.36,20,,,79006.853,118523.24,4s2.5p,2P*,1/2,4s2.9s,2S,1/2,2,2,,,L3335,
255.3837,0.0005,255.3838,39156.77,20,,,79366.494,118523.24,4s2.5p,2P*,3/2,4s2.9s,2S,1/2,4,2,,,L3335,
257.4556,0.0005,257.45588,38841.65,5,,,62403.028,101244.635,4s2.5s,2S,1/2,4s2.6p,2P*,3/2,2,4,,,L3335,
258.1263,0.0005,258.1263,38740.72,5,,,80836.880,119577.60,4s2.4d,2D,3/2,4s2.9p,2P*,1/2,4,2,,,L3335,
259.0996,0.0005,259.0998,38595.20,10,,,81012.598,119607.77,4s2.4d,2D,5/2,4s2.9p,2P*,3/2,6,4,,,L3335,
259.4878,0.0005,259.4878,38537.46,10h,,,80836.880,119374.34,4s2.4d,2D,3/2,4s2.7f,2F*,5/2,4,6,,,L3335,
260.6789,0.0005,260.6792,38361.38,15,,,81012.598,119373.92,4s2.4d,2D,5/2,4s2.7f,2F*,7/2,6,8,,,L3335,
270.48262,0.00006,270.4827,36970.952,200,,,79006.853,115977.80,4s2.5p,2P*,1/2,4s2.7d,2D,3/2,2,4,,,L22,
273.05784,0.00006,273.0579,36622.278,400,,,79366.494,115988.77,4s2.5p,2P*,3/2,4s2.7d,2D,5/2,4,6,,,L22,
273.1399,0.0005,273.1397,36611.27,20,,,79366.494,115977.80,4s2.5p,2P*,3/2,4s2.7d,2D,3/2,4,4,,,L3335,
276.0224,0.0005,276.02225,36228.94,10,,,65015.672,101244.635,4s.4p2,2D,3/2,4s2.6p,2P*,3/2,4,4,,,L3335,
277.14037,0.00006,277.14055,36082.798,50,,,65015.672,101098.446,4s.4p2,2D,3/2,4s2.6p,2P*,1/2,4,2,,,L22,
277.31626,0.00006,277.31638,36059.912,75,,,65184.738,101244.635,4s.4p2,2D,5/2,4s2.6p,2P*,3/2,6,4,,,L22,
280.6493,0.0005,280.6496,35631.66,20,,,79006.853,114638.47,4s2.5p,2P*,1/2,4s2.8s,2S,1/2,2,2,,,L3335,
