obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""99.297""","=""0.003""","=""99.29707""","=""0.00003""","=""770""","=""2.2e+07""",D+,"=""45829.256""","=""146537.16""","=""5s.5p""","=""3P*""","=""2""","=""5s.12s""","=""3S""","=""1""",,"=""T9131""","=""L1143""",
"=""""","=""""","=""99.569532""","=""0.000021""","=""""","=""4.5e+06""",C,"=""42275.995245348""","=""142708.324""","=""5s.5p""","=""3P*""","=""0""","=""5s.10s""","=""3S""","=""1""",,"=""T6137""","=""""",
"=""100.045""","=""0.003""","=""100.04539""","=""0.00003""","=""2700""","=""2.8e+07""",C,"=""43350.5817""","=""143305.21""","=""5s.5p""","=""3P*""","=""1""","=""5s.9d""","=""3D""","=""2""",,"=""T6137""","=""L1143""",
"=""100.054""","=""0.003""","=""100.052139""","=""0.000025""","=""2700""","=""1.3e+07""",C,"=""43350.5817""","=""143298.47""","=""5s.5p""","=""3P*""","=""1""","=""5s.9d""","=""3D""","=""1""",,"=""T6137""","=""L1143""",
"=""100.435""","=""0.003""","=""100.43621""","=""0.00004""","=""2000*""","=""8.e+07""",D+,"=""45829.256""","=""145394.94""","=""5s.5p""","=""3P*""","=""2""","=""5s.10d""","=""3D""","=""3""",,"=""T9131""","=""L1143""",
"=""100.435""","=""0.003""","=""100.44351""","=""0.00005""","=""2000*""","=""1.9e+07""",D+,"=""45829.256""","=""145387.70""","=""5s.5p""","=""3P*""","=""2""","=""5s.10d""","=""3D""","=""2""",,"=""T9131""","=""L1143""",
"=""100.495""","=""0.003""","=""100.49617""","=""0.00003""","=""860""","=""""",,"=""43350.5817""","=""142856.86""","=""5s.5p""","=""3P*""","=""1""","=""5s.10s""","=""1S""","=""0""",,"=""""","=""L1143""",
"=""100.648""","=""0.003""","=""100.646409""","=""0.000021""","=""1200""","=""1.3e+07""",C,"=""43350.5817""","=""142708.324""","=""5s.5p""","=""3P*""","=""1""","=""5s.10s""","=""3S""","=""1""",,"=""T6137""","=""L1143""",
"=""100.841""","=""0.003""","=""100.84637""","=""0.00003""","=""1200""","=""7.e+07""",D+,"=""45829.256""","=""144989.99""","=""5s.5p""","=""3P*""","=""2""","=""5s.11s""","=""3S""","=""1""",,"=""T9131""","=""L1143""",
"=""102.244""","=""0.003""","=""102.24297""","=""0.00003""","=""2300""","=""3.4e+07""",C,"=""42275.995245348""","=""140082.23""","=""5s.5p""","=""3P*""","=""0""","=""5s.8d""","=""3D""","=""1""",,"=""T6137""","=""L1143""",
"=""""","=""""","=""102.57828""","=""0.00015""","=""""","=""3.2e+07""",C,"=""45829.256""","=""143315.78""","=""5s.5p""","=""3P*""","=""2""","=""5s.9d""","=""3D""","=""3""",,"=""T6137""","=""""",
"=""""","=""""","=""102.58940""","=""0.00003""","=""""","=""6.3e+06""",C,"=""45829.256""","=""143305.21""","=""5s.5p""","=""3P*""","=""2""","=""5s.9d""","=""3D""","=""2""",,"=""T6137""","=""""",
"=""103.221""","=""0.003""","=""103.221472""","=""0.000022""","=""2100*""","=""2.1e+07""",C,"=""45829.256""","=""142708.324""","=""5s.5p""","=""3P*""","=""2""","=""5s.10s""","=""3S""","=""1""",,"=""T6137""","=""L1143""",
"=""103.221""","=""0.003""","=""103.240663""","=""0.000022""","=""2100*""","=""6.3e+06""",C,"=""42275.995245348""","=""139137.055""","=""5s.5p""","=""3P*""","=""0""","=""5s.9s""","=""3S""","=""1""",,"=""T6137""","=""L1143""",
