obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""352.6712""","=""0.0020""","=""352.66776""","=""0.00019""","=""11""","=""""",,"=""42031.892""","=""70379.088""","=""5d7.6s2""","=""4P""","=""3/2""","=""5d8.(3P).6p""","=""(1,3/2)*""","=""5/2""",,"=""""","=""L11529""",
"=""352.7738""","=""0.0020""","=""352.7734""","=""0.0003""","=""5""","=""""",,"=""82824.016""","=""111162.724""","=""5d8.(3F).6p""","=""82824*""","=""3/2""","=""5d8.(3F).6d""","=""(2,5/2)""","=""5/2""",,"=""""","=""L11529""",
"=""352.89426""","=""0.00020""","=""352.89422""","=""0.00020""","=""17""","=""""",,"=""93322.215""","=""121651.220""","=""5d7.(4F).6s.6p""","=""93322*""","=""11/2""","=""5d7.6s.7s""","=""121651""","=""9/2""",,"=""""","=""L11529""",
"=""353.58930""","=""0.00011""","=""353.58935""","=""0.00008""","=""55l""","=""1.0e+06""",D+,"=""36484.069""","=""64757.383""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d8.(3F).6p""","=""(3,1/2)*""","=""5/2""",,"=""T8261""","=""L10146""",
"=""353.75014""","=""0.00020""","=""353.75020""","=""0.00010""","=""14""","=""""",,"=""81897.754""","=""110158.213""","=""5d7.6s.6p""","=""81897*""","=""7/2""","=""5d8.(3F).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""354.6331""","=""0.0020""","=""354.63506""","=""0.00020""","=""11""","=""""",,"=""82972.777""","=""111162.724""","=""5d7.6s.6p""","=""82972*""","=""3/2""","=""5d8.(3F).6d""","=""(2,5/2)""","=""5/2""",,"=""""","=""L11529""",
"=""354.8523""","=""0.0004""","=""354.84502""","=""0.00008""","=""460p*""","=""""",,"=""34647.266""","=""62820.534""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.(4F).6s.6p.(3P*)""","=""(9/2,0)*""","=""9/2""",,"=""""","=""L10146c153""",
"=""354.8523""","=""0.0004""","=""354.85196""","=""0.00011""","=""460p*""","=""""",,"=""73026.417""","=""101199.134""","=""5d8.(3F).6p""","=""(2,3/2)*""","=""3/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L10146""",
"=""354.89635""","=""0.00020""","=""354.89639""","=""0.00019""","=""14""","=""""",,"=""93482.030""","=""121651.220""","=""5d7.6s.6p""","=""93482*""","=""7/2""","=""5d7.6s.7s""","=""121651""","=""9/2""",,"=""""","=""L11529""",
"=""355.13585""","=""0.00014""","=""355.13576""","=""0.00009""","=""92l""","=""2.9e+06""",D+,"=""37877.855""","=""66028.059""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d8.(3P).6p""","=""(2,3/2)*""","=""3/2""",,"=""T8261""","=""L10146""",
"=""357.19846""","=""0.00013""","=""357.19850""","=""0.00006""","=""80c""","=""""",,"=""29030.529""","=""57018.176""","=""5d8.6s""","=""2G""","=""7/2""","=""5d8.(3P).6p""","=""(2,1/2)*""","=""5/2""",,"=""""","=""L10146""",
"=""357.7196""","=""0.0007""","=""357.71977""","=""0.00009""","=""57bl,hfs""","=""""",,"=""23461.548""","=""51408.413""","=""5d8.6s""","=""2F""","=""5/2""","=""5d8.(3F).6p""","=""(4,1/2)*""","=""7/2""",,"=""""","=""L11529""",
"=""358.7269""","=""0.0020""","=""358.7271""","=""0.0003""","=""10""","=""""",,"=""77519.775""","=""105388.167""","=""5d7.6s.6p""","=""77519*""","=""9/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""9/2""",,"=""""","=""L11529""",
"=""360.23841""","=""0.00020""","=""360.23827""","=""0.00014""","=""12l""","=""""",,"=""78043.083""","=""105794.571""","=""5d7.6s.6p""","=""78043*""","=""7/2""","=""5d8.(3F).7s""","=""(3,1/2)""","=""7/2""",,"=""""","=""L11529""",
"=""360.7865""","=""0.0020""","=""360.78674""","=""0.00020""","=""4""","=""""",,"=""37877.855""","=""65587.156""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d8.(3P).6p""","=""(0,1/2)*""","=""1/2""",,"=""""","=""L11529""",
"=""361.83806""","=""0.00020""","=""361.83805""","=""0.00020""","=""9""","=""""",,"=""94022.425""","=""121651.220""","=""5d7.6s.6p""","=""94022*""","=""9/2""","=""5d7.6s.7s""","=""121651""","=""9/2""",,"=""""","=""L11529""",
"=""361.92212""","=""0.00020""","=""361.92220""","=""0.00012""","=""22""","=""""",,"=""82535.842""","=""110158.213""","=""5d7.6s.6p""","=""82535*""","=""5/2""","=""5d8.(3F).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L11529""",
