obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
78.2494,0.0005,78.25003,127796.5,300,1.0e+07,,0.000,127795.481,5d10.6s,2S,1/2,5d10.8p,2P*,3/2,2,4,,T7226,L11760,
78.7757,0.0005,78.77623,126942.7,150,3.1e+07,,0.000,126941.844,5d10.6s,2S,1/2,5d10.8p,2P*,1/2,2,2,,T7226,L11760,
80.2469,0.0005,80.24729,124615.4,250,1.9e+07,,0.000,124614.794,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,2,4,,T7226,L11760,
82.1329,0.0005,82.13300,121753.9,15000,1.4e+08,,0.000,121753.739,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",1/2,2,2,,T7226,L11760,
89.3085,0.0005,89.30847,111971.4,200000,5.8e+07,,0.000,111971.464,5d10.6s,2S,1/2,5d10.7p,2P*,3/2,2,4,,T7226,L11760,
89.3287,0.0005,,111946.1,2000,,,,,,,,,,,1,1,,,L11760,
91.5819,0.0005,91.58210,109191.9,120000,1.3e+09,,0.000,109191.648,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,2,4,,T7226,L11760,
92.3377,0.0005,92.33765,108298.1,350,6.5e+08,,0.000,108298.183,5d10.6s,2S,1/2,5d10.7p,2P*,1/2,2,2,,T7226,L11760,
94.0736,0.0005,94.07391,106299.7,25000,7.0e+08,,0.000,106299.401,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",1/2,2,2,,T7226,L11760,
94.2630,0.0005,94.26313,106086.2,200000,1.6e+09,,0.000,106086.013,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,2,4,,T7226,L11760,
96.2711,0.0005,96.27113,103873.3,250000,2.0e+09,,0.000,103873.302,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<1>)*",1/2,2,2,,T7226,L11760,
96.9142,0.0005,96.91437,103184.1,250000,6.8e+08,,0.000,103183.874,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,2,4,,T7226,L11760,
102.2965,0.0005,102.29666,97755.1,50,1.0e+06,,35514.624,133269.525,5d9.6s2,2D,5/2,5d10.6f,2F*,7/2,6,8,,T7226,L11760,
102.7570,0.0005,102.75713,97317.0,100,1.6e+08,,60608.362,157925.207,5d10.6p,2P*,3/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,4,6,,T7226,L11760,
102.9908,0.0005,102.99109,97096.1,6000,1.2e+05,,0.000,97095.774,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,2,4,,T7226,L11760,
103.3737,0.0005,103.37370,96736.4,25,8.2e+06,,51486.070,148222.473,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2,2,4,,T7226,L11760,
103.4691,0.0005,103.46904,96647.2,20,1.6e+07,,51486.070,148133.339,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2,2,2,,T7226,L11760,
103.9631,0.0005,103.96315,96188.0,200000,3.0e+08,,0.000,96187.932,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",1/2,2,2,,T7226,L11760,
105.2960,0.0005,,94970.4,150,,,,,,,,,,,1,1,,,L11760,
106.2780,0.0004,106.27802,94092.9,200000,5.2e+07,,0.000,94092.834,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,2,4,,T7226,L11760,
107.0369,0.0005,107.03697,93425.7,120,2.3e+07,,51486.070,144911.731,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",3/2,2,4,,T7226,L11760,
107.3337,0.0005,107.33344,93167.4,15l,9.2e+06,,51486.070,144653.677,5d10.6p,2P*,1/2,5d10.11d,2D,3/2,2,4,,T7226,L11760,
107.4416,0.0005,107.44168,93073.8,12,3.0e+06,,51486.070,144559.816,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",3/2,2,4,,T7226,L11760,
108.3646,0.0004,108.36484,92281.1,500,1.5e+07,,35514.624,127795.481,5d9.6s2,2D,5/2,5d10.8p,2P*,3/2,6,4,,T7226,L11760,
109.6804,0.0005,109.68014,91174.0,40,2.1e+07,,51486.070,142660.277,5d10.6p,2P*,1/2,5d10.10d,2D,3/2,2,4,,T7226,L11760,
110.5878,0.0005,110.58742,90425.9,50,3.8e+07,,51486.070,141912.265,5d10.6p,2P*,1/2,5d10.11s,2S,1/2,2,2,,T7226,L11760,
112.2335,0.0005,112.23323,89100.0,8,2.0e+07,,35514.624,124614.794,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,6,4,,T7226,L11760,
112.8046,0.0004,,88648.9,40,,,,,,,,,,,1,1,,,L11760,
113.7700,0.0005,113.76988,87896.6,15,3.2e+06,,35514.624,123411.351,5d9.6s2,2D,5/2,5d10.5f,2F*,5/2,6,6,,T7226,L11760,
114.1042,0.0004,114.10425,87639.2,15,9.2e+06,,35514.624,123153.775,5d9.6s2,2D,5/2,5d10.5f,2F*,7/2,6,8,,T7226,L11760,
115.6795,0.0004,115.67945,86445.7,90,2.3e+07,,35514.624,121960.399,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,6,6,,T7226,L11760,
116.0382,0.0004,116.03825,86178.5,900,7.8e+07,,0.000,86178.478,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,2,4,,T7226,L11760,
116.2197,0.0004,116.21974,86043.9,5,4.7e+07,,60608.362,146652.263,5d10.6p,2P*,3/2,5d9.6p2,"(2D<5/2>,3P<0>)",5/2,4,6,,T7226,L11760,
120.3706,0.0004,120.37057,83076.8,50,9.0e+07,,51486.070,134562.854,5d10.6p,2P*,1/2,5d10.8d,2D,3/2,2,4,,T7226,L11760,
123.3433,0.0004,123.34338,81074.5,60,4.6e+07,,51486.070,132560.550,5d10.6p,2P*,1/2,5d10.9s,2S,1/2,2,2,,T7226,L11760,
125.7404,0.0004,125.74066,79528.9,15,3.5e+06,,60608.362,140137.134,5d10.6p,2P*,3/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",5/2,4,6,,T7226,L11760,
126.4541,0.0004,126.45431,79080.1,20h,4.3e+07,,60608.362,139688.308,5d10.6p,2P*,3/2,5d10.9d,2D,5/2,4,6,,T7226,L11760,
126.8828,0.0005,,78812.9,15h,,,,,,,,,,,1,1,,,L11760,
127.6793,0.0005,,78321.2,10h,,,,,,,,,,,1,1,,,L11760,
127.8444,0.0004,127.84463,78220.09,40,3.7e+08,,79705.262,157925.207,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,6,6,,T7226,L11760,
128.4912,0.0005,128.49124,77826.3,40,3.4e+07,,60608.362,138434.682,5d10.6p,2P*,3/2,5d10.10s,2S,1/2,4,2,,T7226,L11760,
129.4665,0.0005,129.46674,77240.1,75,2.2e+07,,50555.567,127795.481,5d9.6s2,2D,3/2,5d10.8p,2P*,3/2,4,4,,T7226,L11760,
130.0374,0.0005,,76901.0,15,,,,,,,,,,,1,1,,,L11760,
130.4429,0.0004,,76661.90,40,,,,,,,,,,,1,1,,,L11760,
130.7928,0.0004,130.79275,76456.81,1200,6.5e+08,,35514.624,111971.464,5d9.6s2,2D,5/2,5d10.7p,2P*,3/2,6,4,,T7226,L11760,
130.8153,0.0004,,76443.66,150,,,,,,,,,,,1,1,,,L11760,
130.9135,0.0004,130.91357,76386.32,130,1.4e+08,,50555.567,126941.844,5d9.6s2,2D,3/2,5d10.8p,2P*,1/2,4,2,,T7226,L11760,
131.3964,0.0004,131.39611,76105.59,15,3.7e+06,,60608.362,136714.118,5d10.6p,2P*,3/2,5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",5/2,4,6,,T7226,L11760,
132.1713,0.0004,132.17116,75659.39,2000,6.7e+08,,35514.624,111174.092,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",5/2,6,6,,T7226,L11760,
132.3042,0.0004,132.30377,75583.39,60p,6.3e+08,,79705.262,155288.900,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6p2,"(2D<5/2>,3P<1>)",5/2,6,6,,T7226,L11760,
133.1737,0.0004,133.17384,75089.90,2000,5.4e+08,,35514.624,110604.447,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",7/2,6,8,,T7226,L11760,
134.7240,0.0004,,74225.82,100,,,,,,,,,,,1,1,,,L11760,
134.7775,0.0004,134.77771,74196.36,120,9.1e+08,,84212.404,158408.647,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6p2,"(2D<5/2>,3P<2>)",7/2,8,8,,T7226,L11760,
134.9689,0.0004,134.96897,74091.14,50,8.8e+07,,60608.362,134699.466,5d10.6p,2P*,3/2,5d10.8d,2D,5/2,4,6,,T7226,L11760,
135.0268,0.0004,135.02706,74059.37,4000,2.2e+09,,50555.567,124614.794,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,4,4,,T7226,L11760,
135.2186,0.0005,135.21829,73954.3,5,1.5e+07,,60608.362,134562.854,5d10.6p,2P*,3/2,5d10.8d,2D,3/2,4,4,,T7226,L11760,
135.2496,0.0005,135.24960,73937.4,20,1.4e+08,,95187.361,169124.734,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,5d9.6p2,"(2D<5/2>,1D<2>)",7/2,8,8,,T7226,L11760,
135.4289,0.0004,135.42894,73839.48,400,2.1e+08,,51486.070,125325.531,5d10.6p,2P*,1/2,5d10.7d,2D,3/2,2,4,,T7226,L11760,
135.6982,0.0005,135.69789,73692.9,20w,1.1e+09,,84212.404,157905.52,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6p2,"(2D<5/2>,3P<2>)",9/2,8,10,,T7226,L11760,
135.7276,0.0004,135.72752,73676.98,120,2.5e+07,,35514.624,109191.648,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,6,4,,T7226,L11760,
135.9203,0.0004,135.92034,73572.53,90,6.6e+08,,84836.143,158408.647,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6p2,"(2D<5/2>,3P<2>)",7/2,6,8,,T7226,L11760,
135.9932,0.0005,,73533.1,20,,,,,,,,,,,1,1,,,L11760,
136.1263,0.0004,136.12645,73461.19,6000,1.6e+09,,35514.624,108975.732,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",5/2,6,6,,T7226,L11760,
136.8194,0.0004,136.81937,73089.05,12,3.5e+08,,84836.143,157925.207,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,6,6,,T7226,L11760,
137.2573,0.0004,137.25746,72855.87,1200,5.7e+08,,50555.567,123411.351,5d9.6s2,2D,3/2,5d10.5f,2F*,5/2,4,6,,T7226,L11760,
137.9543,0.0006,,72487.8,15,,,,,,,,,,,1,1,,,L11760,
