obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
309.25516,0.00003,309.255161,0.000008,32335.758,120,,,12472.17734,44807.9352,5f.6d.(3F*).7s,2F*,5/2,5f2.6d+5f.6d.7p,,7/2,6,8,,,L5951,
309.32300,0.00003,309.323040,0.000007,32328.666,120,,,13406.4329,45735.0949,5f.6d.(3H*).7s,4H*,13/2,5f2.(3H).6d,,11/2,14,12,,,L5951,
309.33499,0.00013,309.334899,0.000010,32327.414,12,,,21682.74765,54010.1702,5f.(2F*).6d2.(3F),*,7/2,5f2.6d+5f.6d.7p,,7/2,8,8,,,L2372,
309.38440,0.00003,309.384388,0.000008,32322.250,140,,,12485.68373,44807.9352,5f.(2F*).6d2.(3F),*,7/2,5f2.6d+5f.6d.7p,,7/2,8,8,,,L5951,
309.395011,0.000013,309.395010,0.000007,32321.1417,540,,,1521.89632,33843.0382,6d2.(3F).7s,4F,5/2,5f.(2F*).6d2.(1D),*,3/2,6,4,,,L5951,
309.40939,0.00013,309.409322,0.000008,32319.639,31,,,12488.28836,44807.9352,5f.6d.(3F*).7s,4F*,9/2,5f2.6d+5f.6d.7p,,7/2,10,8,,,L2372,
309.41520,0.00013,309.415328,0.000004,32319.033,50,,,4490.26167,36809.2811,5f.7s2,2F*,5/2,5f.6d.(1G*).7p,,7/2,6,8,,,L2372,
309.560458,0.000020,309.560440,0.000008,32303.8675,250,,,16818.06540,49121.9347,6d3,2G,7/2,6d2.(1D).7p,*,7/2,8,8,,,L5951,
309.56887,0.00004,309.568863,0.000012,32302.989,79,,,24414.64266,56717.6330,5f.(2F*).6d2.(3F),*,3/2,,,3/2,4,4,,,L5951,
309.65179,0.00004,309.651793,0.000010,32294.339,86,,,18973.77768,51268.1168,5f.6d.(1F*).7s,*,7/2,5f2.6d+5f.6d.7p,,7/2,8,8,,,L5951,
309.65327,0.00013,309.653362,0.000011,32294.186,19,,,14101.7986,46395.9740,5f.6d.(3D*).7s,*,1/2,5f.6d.7p,,3/2,2,4,,,L2372,
309.66433,0.00003,309.664325,0.000012,32293.032,130,,,17121.62038,49414.6525,5f.(2F*).6d2.(1D),*,3/2,5f.6d.7p,,3/2,4,4,,,L5951,
